囪	［囪-囱］
锑	［銻-锑］厗
錈	［錈-锩］
锩	［錈-锩］
銳	［鋭↝銳-锐］
鋭	［鋭↝銳］兑㓹鈗棁锐
锐	［銳-锐］鋭兑㓹鈗
鐠	［鐠-镨］
镨	［鐠-镨］
鎌	［䥥⇀鎌鐮↛鐮‒鐮鎌-镰］
鎡	［鎡-镃］鼒
镃	［鎡-镃］
鎖	［鎻⇀鎖-锁］鏁瑣𩪑
钂	［钂鎲-镋］
銷	［銷-销］焇消
销	［銷-销］焇消
鐺	［鐺-铛］
鐳	［鐳-镭］
镭	［鐳-镭］
锁	［鎖-锁］鏁鎻瑣𩪑
鏷	［鏷-镤］𨮓
镤	［鏷-镤］𨮓
鈔	［鈔-钞］抄摷眇
钞	［鈔-钞］抄摷
銃	［銃-铳］衝𥒝
鎲	［钂鎲-镋］
铳	［銃-铳］衝𥒝
镋	［钂鎲-镋］
鋶	［鋶-锍］
锍	［鋶-锍］
鏜	［鏜-镗］
镗	［鏜-镗］
鈥	［鈥-钬］
钬	［鈥-钬］
鈈	［鈈-钚］鉟
鐒	［鐒-铹］𨦭
钚	［鈈-钚］鉟
錟	［錟-锬］銛剡
锬	［錟-锬］銛
铛	［鐺-铛］
鍵	［鍵-键］𨩼𨭙鑳建
鏽	［`鏽⇋銹‒鏽-锈］鏥肅
鋟	［鋟-锓］鑯
锓	［鋟-锓］鑯𨯒
釵	［釵-钗］叉𧢷
钗	［釵-钗］叉𧢷
肾	［腎-肾］
鋝	［鋝-锊］率寽𨫏
锊	［鋝-锊］率寽𨫏
弪	［弳-弪］
铎	［鐸-铎］鈬
贤	［賢-贤］贒𠤕臤䝨
鍛	［鍛-锻］煅段𨪇腶
鍰	［鍰-锾］垸環饌
锾	［鍰-锾］
锻	［鍛-锻］煅段𨪇腶
竖	［豎-竖］竪
归	［歸-归］帰
騖	［騖-骛］𩤝𩥎𩥦鶩
鶩	［鶩-鹜］𨾣䳱騖
鹜	［鶩-鹜］𨾣䳱
骛	［騖-骛］𩤝𩥎𩥦
键	［鍵-键］𨩼𨭙鑳
鎩	［鎩-铩］鈒𨦅𨨽𨭝
铩	［鎩-铩］鈒𨦅𨨽𨭝
坚	［堅-坚］
紧	［緊-紧］
張	［張-张］弡
张	［張-张］
銥	［銥-铱］
铱	［銥-铱］
帅	［帥-帅］
鑲	［鑲-镶］
镶	［鑲-镶］
鎄	［~鑀鎄-锿］
锿	［~鑀鎄-锿］
釤	［釤-钐］䥇銛
钐	［釤-钐］䥇銛
銀	［銀-银］𨧏垠
银	［銀-银］𨧏
釓	［釓-钆］釚釻
钆	［釓-钆］釚釻䤛𨥐銶
釲	［釲-𫟳］鈻
鈕	［紐鈕-纽‒鈕-钮纽］杽㺲
钮	［鈕-钮纽］杽㺲
釔	［釔-钇］
钇	［釔-钇］
钖	［鍚-钖］鐊𩋬
騙	［騙-骗］𩤬騗
鯝	［鯝-鲴］
鲴	［鯝-鲴］
鱂	［鱂-鳉］
鳉	［鱂-鳉］
猡	［玀-猡］
𩣵	［𩣵-𩧻］涴
騸	［騸-骟］𠞛扇𩦐
骟	［騸-骟］𠞛扇𩦐
彙	［匯彙-汇］彚𢍖𡻼𢑤𢑺𢑷𣉰猬
蝈	［蟈-蝈］
狞	［獰-狞］
獱	［獱-㺍］猵
馿	［馿↦驴］驢
驴	［驢-驴］馿𩢉䮫𩧥
鮦	［鮦-鲖］𩻡
駧	［駧-𩧲］騆
鲖	［鮦-鲖］𩻡
獧	［獧狷↛狷］𨆈𢔮
䴋	［䴋-𫜅］䴉
鯿	［鯿-鳊］𩺂鯾𩼧
骗	［騙-骗］𩤬騗
鳊	［鯿-鳊］𩺂鯾𩼧
蟈	［蟈-蝈］蜮
㺍	［獱-㺍］
鯶	［鯶-𩽼］鯇
駰	［駰-骃］
骃	［駰-骃］
𩣑	［𩣑-䯃］鞍
蛔	［蛕蜖⇀蚘痐蛔↛蛔］蚴回𧍚
蜖	［蛕蜖⇀蚘痐蛔↛蛔］蚴𧍚
獨	［獨-独］𤝠𤟩𤡴𤢜𨊒
驄	［驄-骢𩨂］𩣢𩣭騘
骢	［驄-骢𩨂］𩣢𩣭騘
驃	［驃-骠］𩦈𩦾𩧙
騌	［騌鬉⇀騣鬃↛鬃‒騌-骔］
骠	［驃-骠］𩦈𩦾𩧙
骔	［騌-骔］
鰾	［鰾-鳔］𩼾𩽯
鳔	［鰾-鳔］𩼾𩽯
獰	［獰-狞］𤢆
鰮	［鰛↝鰮-鳁］
鰥	［鰥-鳏］鱞𥉀瘝鯀鯤𣎕矜𥎅𧤩䚪𩶊𩹌𩻲𩻴
駟	［駟-驷］四
驷	［駟-驷］
鳏	［鰥-鳏］鱞𥉀瘝鯀鯤𣎕矜𥎅𧤩䚪𩶊𩹌𩻲𩻴
驛	［驛-驿］駅墿𩦯繹譯圛
鯛	［鯛-鲷］鮉
鲷	［鯛-鲷］鮉
鰫	［鰫-𫚦］鱅
蛇	［虵⇀蛇］𥝀它𤜣𧉮
駝	［駞⇀駝-驼］馱𩣾
鴕	［鴕-鸵］𪂊
鸵	［鴕-鸵］𪂊
驼	［駝-驼］駞馱𩣾
鯇	［鯇-鲩］鰀𩸩鯶
鴥	［鴥-𫛣］鴪鴧
鲩	［鯇-鲩］鰀𩸩鯶
牺	［犧-牺］
玀	［玀-猡］猓
雋	［`雋⇋隽］
鰻	［鰻-鳗］𩺴𩻠
鼹	［`鼴⇋鼹］蝘𪕤
鮊	［鮊-鲌］𩸊𩹏
鲌	［鮊-鲌］𩸊𩹏
鳗	［鰻-鳗］𩺴𩻠
鯧	［鯧-鲳］䱽
鲳	［鯧-鲳］䱽
鰨	［鰨-鳎］鰈魶鮙
鳎	［鰨-鳎］鰈魶鮙鯜魼𩸏𩻵鲽
鲥	［鰣-鲥］𩶬
鰉	［鰉-鳇］鱑
騜	［騜-𫘩］𩥧䮲
鳇	［鰉-鳇］鱑
猂	［猂⇀悍］扞捍釬
駻	［駻-𫘣］馯
鯷	［鯷-鳀］鮧鮷
騠	［騠-𫘨］𩤢
鳀	［鯷-鳀］鮧鮷
魯	［魯-鲁］旅𢻛𣥐鹵
馹	［馹-驲］𨖹𩡲
驲	［馹-驲］𨖹𩡲
鲁	［魯-鲁］旅𢻛𣥐
蠍	［`蠍蝎↛蝎］𧒤𧓃𧓚𧔄𧕔𧖁
蝎	［`蠍蝎↛蝎］𧒤𧓃𧓚𧔄𧕔𧖁曷
騔	［騔-𩨀］𩢛
鰁	［鰁-鳈］
鳈	［鰁-鳈］
鰣	［鰣-鲥］𩶬
鯤	［鯤-鲲］卵𡖉鰥𩻋𩽞
鰛	［鰛↝鰮］鳁
鳁	［鰮-鳁］鰛
鲲	［鯤-鲲］卵𡖉鰥𩻋𩽞
蝾	［蠑-蝾］
螮	［螮-䗖］𧉛蚳𧋍蝃
䗖	［螮-䗖］
蟆	［蟇⇀蟆］䗫
龔	［龔-龚］供恭用
鱝	［鱝-鲼］𩸂
豶	［豶-豮］獖𧴍
豮	［豶-豮］
鲼	［鱝-鲼］𩸂
龚	［龔-龚］供
鯖	［鯖-鲭］𦙫
鲭	［鯖-鲭］𦙫
貓	［`貓⇋猫］錨
猫	［`貓⇋猫］苗
驊	［驊-骅］𩤉𩦰
蜡	［蠟蜡-蜡］蛆䖳䄍𥛾
猎	［獵-猎］㹱𤡡𤡯猟
獲	［獲穫-获］隻嚄矱
鸌	［鸌-鹱］𪇡
鹱	［鸌-鹱］𪇡
鱯	［鱯-鳠］魱𩽕
鳠	［鱯-鳠］魱𩽕
獾	［貛䝔⇀獾］狋犿
驩	［懽讙驩歡↛歡］𠂄𩦘𩥤歓孉𧆒𩿊欢唤
貛	［貛䝔⇀獾］貆狋犿
䝔	［貛䝔⇀獾］
蟎	［蟎-螨］
螨	［蟎-螨］
蠨	［蠨-蟏］蟰
蟏	［蠨-蟏］
蝶	［蜨蝶↛蝶］𧋞𧋝𧕊
鰈	［鰈-鲽］鰨鯜魼𩸏𩻵
鲽	［鰈-鲽］
犊	［犢-犊］
養	［養-养］羪氧𢼝𢽁䍩𩛬飬
駐	［駐-驻］尌住
驻	［駐-驻］尌
駔	［駔-驵］且徂𪓐組阻怚
驵	［駔-驵］且
养	［養-养］
鯗	［鮝↝鯗-鲞］鱶𩺁
蚁	［蟻-蚁］
蜋	［蜋螂↛螂］
螂	［蜋螂↛螂］
豬	［`豬⇋猪］猪瀦𢑳䐗𧳯𧱭
鰼	［鰼-鳛］
鳛	［鰼-鳛］
櫫	［櫫-橥］
橥	［櫫-橥］
鰭	［鰭-鳍］鮨䱈鬐
猪	［`豬⇋猪］猪
鳍	［鰭-鳍］鮨䱈鬐
𩥇	［𩥇-𩨍］驙𩧝
聾	［聾-聋］𤼃𦗤䏊
聋	［聾-聋］
鮞	［鮞-鲕］
鲕	［鮞-鲕］
鮳	［鮳-鲓］
鲓	［鮳-鲓］
蠏	［蠏⇀蟹］䲒𩼠
觕	［觕麤粗↛粗］䚘觸
蚝	［蠔蚝`↛蚝］蛓
牦	［犛氂⇋牦‒氂-牦］𤙚髦
驏	［驏-骣］
骣	［驏-骣］
蝡	［蝡蠕↛蠕］𧔀
蝸	［蝸-蜗］蜾螺瓜騧
蟶	［蟶-蛏］
騧	［騧-䯄］𩢍𩦣
鮍	［鮍-鲏］𩸉
駊	［駊-𫘟］𩢘
鲏	［鮍-鲏］𩸉
䲁	［䲁-鳚］𩻍
鳚	［䲁-鳚］𩻍
欬	［欬咳↛咳］噫𤸺𠹛𠺡孩
蜆	［蜆-蚬］咞䗾𧖙
蚬	［蜆-蚬］
獋	［嘷獋⇀嗥］𠰘𠶪噑獆𣽎䝥皋
蝦	［蝦-虾］徦𧎂鰕瑕赮霞
鰕	［鰕-𫚥］蝦
驟	［驟-骤］駎𩧁騶
骤	［驟-骤］駎𩧁
鯫	［鯫-鲰］
鲰	［鯫-鲰］
頦	［頦-颏］𦝣𩒁
颏	［頦-颏］𦝣𩒁
鮪	［鮪-鲔］
蛕	［蛕蜖⇀蚘痐蛔↛蛔］
鲔	［鮪-鲔］
魟	［魟-𫚉］䱋
虏	［虜-虏］
駃	［駃-𫘝］快
鴃	［鴃-𫛞］鴂
鮁	［鮁-鲅］䰾
鲅	［鮁-鲅］䰾
龜	［龜-龟］亀𠁴𤕣𠃾𪚨𧑴𪚿𪚦𪚧𪚺
亀	［亀↦龟］龜
龟	［龜-龟］亀𠁴𤕣𠃾𪚨𧑴𪚿𪚦𪚧𪚺
狽	［狽-狈］䟺
狈	［狽-狈］
膚	［膚-肤］胕𦢚臚
蝟	［`蝟⇋猬］彙𢑭𢑯猥𧒞𧳪
𩤸	［𩤸-𩨅］衛
猬	［`蝟⇋猬］彙𢑭𢑯猥𧒞𧳪
虜	［虜虜↛虜-虏］擄虜掳
驂	［驂-骖］
鰺	［鰺-鲹］鯵䱗𩹧鱢
騁	［騁-骋］𩣁𩧢磬
鰃	［鰃-鳂］
鳂	［鰃-鳂］
骋	［騁-骋］𩣁𩧢
騃	［獃騃呆↛呆‒騃-𫘤］保𤶗
鰂	［鰂-鲗］䰹鯽鱡
鲗	［鰂-鲗］䰹鯽鱡
鵟	［鵟-𫛭］𨿗
騍	［騍-骒］
骒	［騍-骒］
鲹	［鰺-鲹］鯵䱗𩹧鱢
骖	［驂-骖］
鱷	［`鱷⇋鰐‒鱷-鳄］
駘	［駘-骀］𩦽
骀	［駘-骀］𩦽
鮐	［鮐-鲐］台胎
鲐	［鮐-鲐］台
慮	［慮-虑］閭
鰓	［鰓-鳃］葸
鳃	［鰓-鳃］
狸	［貍狸↛狸］猍
鯉	［鯉-鲤］𩼞𩼆
鲤	［鯉-鲤］𩼞𩼆
貍	［貍狸↛狸］猍𧴔霾埋
盧	［盧-卢］壚廬櫨獹爐矑𥃈𧆣籚鑪顱鸕
顱	［顱-颅］髗鸕盧𩔺
鸕	［鸕-鸬］顱髗盧𩁨𪈒鷺
駿	［駿-骏］俊允浚逡
骏	［駿-骏］俊
駎	［駎-𩧨］驟
騾	［驘⇀騾-骡］𦝠𦟀𩦻𩥡䯁𩧣臝
骡	［騾-骡］驘𦝠𦟀𩦻𩥡䯁𩧣
鮋	［鮋-鲉］鯈
鲉	［鮋-鲉］鯈
鯁	［骾鯁↛鯁-鲠］硬𦛟𩹐鞕哽
鱄	［鱄-𫚋］𧐕
鼴	［`鼴⇋鼹］蝘𪕤
鰋	［鰋-𫚢］𩷑𩹽
鲠	［鯁-鲠］骾𦛟𩹐𩩹
魨	［魨-鲀］
鲀	［魨-鲀］
驪	［驪-骊］孋𩣫麗黎
骊	［驪-骊］孋𩣫
鲡	［鱺-鲡］鱧
鱺	［鱺-鲡］鱧
鰽	［鰽-𫚧］鯦
龑	［龑-䶮］𪚔
驅	［駈⇀敺驅↛驅-驱］駆𣦑毆𨒡䮃𩢧𩢩𩣕𩣌𩤀
鰏	［鰏-鲾］
鲾	［鰏-鲾］
貙	［貙-䝙］𤠾𧲰
魺	［魺-鲄］
鲄	［魺-鲄］
鯆	［鯆-𫚙］𩹲𩺼
虾	［蝦-虾］
羥	［羥-羟］𦎥𦎺
鯄	［鯄-𩾁］𩵍
駤	［駤-𫘠］騺
駆	［駆↦驱］敺駈驅
蜨	［蜨蝶↛蝶］𧕊
驱	［驅-驱］駆敺駈𣦑毆𨒡䮃𩢧𩢩𩣕𩣌𩤀𢿛
䝙	［貙-䝙］
魷	［魷-鱿］
蚘	［蛕蜖⇀蚘痐蛔↛蛔］
犹	［猶-犹］尤
獮	［獮-狝］𤣔𤣝𥙮𥜦𥜬𥜲獼省
鱿	［魷-鱿］
鳥	［鳥-鸟］島𩾑𪈼歍
鸟	［鳥-鸟］島𩾑𪈼
鰟	［鰟-鳑］魴
鳑	［鰟-鳑］魴
羶	［羴⇀羶膻`↛膻］𠆞䍹𦏫𦏭𦏬馨
鱣	［鱣-鳣］鱔𧖞䱳𩼼𩽱
驙	［驙-𫘰］𩥇
鳣	［鱣-鳣］鱔𧖞䱳𩼼𩽱
獐	［麞⇀獐］𪋀章
麞	［麞⇀獐］𪋀
魴	［魴-鲂］𩷸鰟
鲂	［魴-鲂］𩷸鰟
詟	［讋-詟］
讋	［讋-詟］𧮩龘譶
獄	［獄-狱］𡈭
狱	［獄-狱］
蠔	［蠔蚝`↛蚝］蛓
讎	［仇讎-仇‒讎-雠］讐𠵁𢛇𢢧𩀕稠
雠	［讎-雠］讐仇𠵁𢛇𢢧𩀕㐜
麐	［麐⇀麟］
蠐	［蠐-蛴］𧖊𧓉
蛴	［蠐-蛴］
鱭	［鱭-鲚］鮆
鲚	［鱭-鲚］鮆
鱧	［鱧-鳢］鱺
鳢	［鱧-鳢］鱺
鯨	［鯨-鲸］𩼃䲔京擎
鲸	［鯨-鲸］𩼃䲔
蚊	［螡蟁⇀蚊］蚉𧉬𧊈𧏎𧓹䘇𧖁
馼	［馼-𫘜］𩢌
駮	［駮駁↛駁］
鮫	［鮫-鲛］蛟𩊔
鲛	［鮫-鲛］蛟𩊔
虻	［蝱⇀虻］𧌦
魛	［魛-鱽］
鱽	［魛-鱽］
羢	［毧羢絨↛絨］狨茸绒㲨
馯	［馯-𫘛］駻
駈	［駈⇀敺驅↛驅］駆
鱤	［鱤-鳡］鰔𩹸
鳡	［鱤-鳡］鰔𩹸
蛲	［蟯-蛲］
骁	［驍-骁］
獼	［獼-猕］𤝝獮
蛳	［螄-蛳］
狮	［獅-狮］
猕	［獼-猕］
鮃	［鮃-鲆］
鲆	［鮃-鲆］
鲣	［鰹-鲣］
雙	［雙-双］𩀝䨥𩆿㕠𩀱䨇
䰾	［䰾-鲃］𩵒鮁
鲃	［䰾-鲃］𩵒鮁
独	［獨-独］
驢	［驢-驴］馿𩢉䮫𩧥
鱸	［鱸-鲈］魲𩽬
駭	［駭-骇］駴絯
骇	［駭-骇］駴
讐	［讐⇀仇］讎
鸗	［鸗-𫛟］𪈗
劇	［劇-剧］𠟵勮據遽
蟲	［蟲虫-虫］𧈰虺
𪈼	［𪈼-𪉓］鳥
麤	［觕麤粗↛粗］麄𡔙𧆓麁麆𪋙𪋨𧇿𥼡蔍䚘觸
驫	［驫-骉］𠫑䮶
骉	［驫-骉］𠫑䮶
蠱	［蠱-蛊］
犇	［犇奔逩⇀奔］
鱻	［尠鱻⇀尟鮮↛鮮］
飆	［飆-飙］飈颮飇颷猋𩖡𩖚𩖧𩗈
飙	［飆-飙］
羴	［羴⇀羶膻↛膻］
䮾	［䮾-𩧪］𩦳龍龐
蠅	［蠅-蝇］蝿𡢘
螞	［螞-蚂］
蝿	［蝿↦蝇］蠅
蚂	［螞-蚂］
蝇	［蠅-蝇］
獁	［獁-犸］
犸	［獁-犸］
蟂	［蟂-𫋇］䳋
蟻	［蟻-蚁］螘蟣𧍽𧑢蛾𧔮𧕶
䭾	［䭾⇀馱］
犧	［犧-牺］犠戲獻
虧	［虧-亏］㚀𡓰𧟯𧇾隵
鱔	［鱓⇀鱔-鳝］蟮蟺䱇鱣
鳝	［鱔-鳝］鱓蟮蟺䱇鱣鼉蟬
鮺	［鮺-鲝］鮓
鲝	［鮺-鲝］鮓
䱷	［䱷-䲣］漁
鮮	［尠鱻⇀尟鮮↛鮮-鲜］仙赻斯巘獻
鲜	［鮮-鲜］尠鱻尟仙赻
騅	［騅-骓］
骓	［騅-骓］
進	［進-进］𡥦𨗃𨙟
竜	［竜↦龙］龒龍能
龙	［龍-龙］竜龒𠉒𠊋𢅛㡣𢀀𥪖𥪑𥪐𥪢𥫆𥫈𦱸𦱉䰱䮾能
蜂	［蠭䗬⇀蜂］蚌𧊩䗦𧒒𧓶
騤	［騤-骙］𩦟
骙	［騤-骙］𩦟
鰱	［鰱-鲢］
鲢	［鰱-鲢］
鲦	［鰷-鲦］𩵌䱔
駱	［駱-骆］𢆇𩦼
骆	［駱-骆］𢆇𩦼
處	［處-处］処𠙚䖏𠁅𧇤𩂫
豵	［豵-𫎆］𤡆𧲓
馬	［馬-马］碼𢒗𢒠𢒧𩡬
黾	［黽-黾］𥜐𦊣𦋍𪓑𪓙𪓖𪓕𪓝
马	［馬-马］碼𢒗𢒠𢒧𩡬
獺	［獺-獭］㺚𧴡
獭	［獺-獭］
𧳟	［𧳟-𧳕］猍𧳥
梟	［梟-枭］𤡔𩾓𩾣䲷𩿋鴵鷍撓
枭	［梟-枭］
牴	［牴觝抵↛抵‒抵牴-抵‒牴-牴抵］𤘳𤙆𤙊𤚃羝
騎	［騎-骑］
骑	［騎-骑］
螻	［螻-蝼］
貗	［貗-𫎌］䝏
䮫	［䮫-𩨇］驢
猻	［猻-狲］
馱	［䭾⇀馱-驮］駄軑他佗𨈷駝
驮	［馱-驮］駄䭾軑他佗𨈷駝
狹	［陿⇀狹-狭］狎𠩘峽陜夾俠硤
蛺	［蛺-蛱］
姜	［姜薑-姜］彊
蛱	［蛺-蛱］
狭	［狹-狭］
狲	［猻-狲］
鰹	［鰹-鲣］
騻	［騻-𫘭］驦
蜗	［蝸-蜗］
䯄	［騧-䯄］
狷	［獧狷↛狷］𢔮
鵠	［鵠-鹄］䧼鶴浩
鹄	［鵠-鹄］䧼鶴
蟬	［蟬-蝉］蟺鱓
鱓	［鱓⇀鱔］鼉蟬
鱢	［鱢-𫚫］鰺𩻦
玁	［玁-𤞤］獫𡪯猃
鰐	［`鱷⇋鰐］𧊜𧍞𩻙鳄
鳄	［鱷-鳄］鰐𧊜𧍞𩻙
駛	［駛-驶］使𩰢𩢲𩣬
驶	［駛-驶］使𩰢𩢲𩣬
義	［義-义］誼儀𠌾羛議俄峨
狥	［狥⇀徇］伨𠊫𢓈𢕊殉
騶	［騶-驺］𩤍𩣿菆驟趨
䳘	［鵞䳘⇀鵝］
騮	［騮-骝］駵驑駠𩣒𩥖
骝	［騮-骝］駵驑駠𩣒𩥖
驕	［驕-骄］駒嘐嬌憍䮦𩥊喬
骄	［驕-骄］駒嘐嬌憍䮦𩥊
駒	［駒-驹］驕
驹	［駒-驹］驕
鳧	［鳬↝鳧-凫］
虮	［蟣-虮］
凫	［鳧-凫］鳬
鳬	［鳬↝鳧］𠒎𣹋凫
虖	［嘑⇀虖謼呼↛呼］乎𧆪
鯀	［鯀-鲧］𧣙𩩌鮌鰥
鲧	［鯀-鲧］𧣙𩩌鮌鰥
鮑	［鮑-鲍］蚫鞄
鲍	［鮑-鲍］蚫
鰒	［鰒-鳆］𩺽
鳆	［鰒-鳆］𩺽
鲈	［鱸-鲈］魲𩽬
䱙	［䱙-𩾈］鮛
虑	［慮-虑］
鮎	［鮎~鯰-鲶‒鮎-鲇］
鲇	［鮎-鲇］鯰
鮅	［鮅-𫚑］𩺷
鮓	［鮓-鲊］蚱𩼻鮺䱹𩺃𩻢𩼮𩼫𩽟𩽫
鲊	［鮓-鲊］蚱𩼻鮺䱹𩺃𩻢𩼮𩼫𩽟𩽫
鯡	［鯡-鲱］𩹉
鲱	［鯡-鲱］𩹉
駞	［駞⇀駝‒駞-𫘞］
鱠	［鱠膾↛膾‒鱠-鲙］脍
䱽	［䱽-䲝］鯧
獪	［獪-狯］猾㹟狤
𦍑	［𦍑羗⇀羌］
駙	［駙-驸］附𩢇䮛輔
驸	［駙-驸］附𩢇䮛
鮒	［鮒-鲋］𩷺𩸅
鲋	［鮒-鲋］𩷺𩸅
駩	［駩-𩧴］騡
鯾	［鯾-𫚣］鯿
蟘	［蟘-𫋌］螣𧈺𧈩𧎢𧎬𧏪
贊	［賛⇀讚贊↛贊‒贊讚-赞］
酇	［酇-酂］鄼醝䣜攢
赞	［贊讚-赞］賛讃囋
酂	［酇-酂］
选	［選-选］
驗	［騐⇀驗-验］験𩤼𩥾
獫	［獫-猃］玁
鰷	［鰷-鲦］𩵌䱔
猃	［獫-猃］
验	［驗-验］験騐𩤼𩥾
骅	［驊-骅］𩤉𩦰
狯	［獪-狯］
狝	［獮-狝］
鲙	［鱠-鲙］膾脍䭝
驺	［騶-驺］𩤍𩣿
鯰	［鮎~鯰-鲶］
騐	［騐⇀驗］験
鲶	［鮎~鯰-鲶］
鼠	［鼡↦鼠］𠏙𣆎𣆨𦥩䑕癙予
羨	［羨-羡］
羡	［羨-羡］𠿢
鯔	［鯔-鲻］𩞮𩺅𩻨
鲻	［鯔-鲻］𩞮𩺅𩻨
剝	［剝-剥］
剥	［剝-剥］𠚬𠚩𠧓𠛧駁攴扑
獵	［獵-猎］猟𤡕獦𤢪邋擸躐鬣
蠟	［蠟蜡-蜡］蝋䗶蛆䖳䄍𥛾
馴	［馴-驯］訓
驯	［馴-驯］
鼡	［鼡↦鼠］𠏙𣆎𣆨𦥩䑕
彔	［錄彔~録-录］𢑗
录	［錄彔~録-录］
犢	［犢-犊］㸿𤛯
犷	［獷-犷］
獷	［獷-犷］𤣊
蠣	［蠣-蛎］蠇𧖄
鄔	［鄔-邬］𣃶
鄳	［鄳-𫑡］𨝪𨞚
邬	［鄔-邬］
獅	［獅-狮］師𤜳
蛎	［蠣-蛎］
鮜	［鮜-鲘］
鲘	［鮜-鲘］
螄	［螄-蛳］𧏍
鰤	［鰤-𫚕］魳
驨	［驨-𫘱］𩧎
鷈	［鷈鷉-䴘］
猿	［猨⇀蝯猿↛猿］𤝌𤟗𤠔𧳭𧳷
礱	［礱-砻］𤮨礲鑨
砻	［礱-砻］
𩢴	［𩢴-𩧵］佶
鮚	［鮚-鲒］𩷻
鲒	［鮚-鲒］𩷻
島	［㠀⇀島-岛］嶋嶌嶹隝隯鳥
岛	［島-岛］
㠀	［㠀⇀島］嶋嶌嶹
蛙	［鼃⇀蛙］𡔩𡔻䖯𪓤䵷
驍	［驍-骁］
蟯	［蟯-蛲］𧑣
鮭	［鮭-鲑］
鲑	［鮭-鲑］
兔	［兎兔⇀兔］莵菟
兎	［兎兔⇀兔］莵菟
𩥉	［𩥉-𩧱］驥
塵	［塵-尘］𦧄𡑁𡐪𡒲𡔚𪋻
壟	［壟-垄］壠隴
垄	［壟-垄］
鱖	［鱖-鳜］鱥
鳜	［鱖-鳜］鱥
鯪	［鯪-鲮］
鲮	［鯪-鲮］
鱅	［鱅-鳙］鰫
鳙	［鱅-鳙］鰫
䲘	［䲘-鳤］
鳤	［䲘-鳤］
騏	［騏-骐］䭶䭼𩥕騹綦𤪌棋
骐	［騏-骐］䭶䭼𩥕騹
鯕	［鯕-鲯］𩵧
鲯	［鯕-鲯］𩵧
驥	［驥-骥］蘎𧁳𩥉𩦸
骥	［驥-骥］蘎𧁳𩥉𩦸
魽	［魽-𫠐］蚶
穌	［穌-稣］鯂蘇
稣	［穌-稣］
戲	［戯⇀戲-戏］犧麾
𩣫	［𩣫-𩧸］驪
獻	［獻-献］桸𤟜𤡎犧
齾	［齾-𫜰］𪚋
麟	［麐⇀麟］𪊓𪊭𪊱𪊺𪋲𪋷
螎	［螎⇀融］𥃼𧕩𧖓隔
鱗	［鱗-鳞］魿𩻜𩼩麟
鳞	［鱗-鳞］魿𩻜𩼩
盖	［蓋-盖］葢
蛊	［蠱-蛊］
蝼	［螻-蝼］
鯢	［鯢-鲵］兒齯
蜺	［蜺霓↛霓］
鲵	［鯢-鲵］
騪	［騪-𩨄］搜
䱸	［䱸-𫠑］緧
鰍	［鰍-鳅］𩹤鰌鱃
鳅	［鰍-鳅］𩹤鰌鱃
騂	［騂-骍］𤙡𤛫𩤑𩥍
骍	［騂-骍］𤙡𤛫𩤑𩥍
彝	［彞↝彝］彜彛𢁔𢍵𢑴𦇚𢇏𦄳𦆩𧤋夷
彞	［彞↝彝］彜彛𢁔𢍵𢑴𦇚𢇏𦄳𦆩𧤋
魚	［魚-鱼］漁䏸䐳𤉯𤋳𥆐䁩𩥭𩵋𩺰
鱼	［魚-鱼］漁䏸䐳𤉯𤋳𥆐䁩𩥭𩵋𩺰
驓	［驓-𫘯］蹭
駢	［駢-骈］騈𨵸𩢝𩡼䮁骿
骈	［駢-骈］騈𨵸𩢝𩡼䮁
蝉	［蟬-蝉］
魵	［魵-𫚍］𩸂
蛻	［蛻-蜕］
蜕	［蛻-蜕］脱
猶	［猶-犹］尤猷𧳫𨺧蕕䚻謡由訧欲誘摇獨
鱒	［鱒-鳟］
鳟	［鱒-鳟］
鰌	［鰌-䲡］鰍遒䠓
鰜	［鰜-鳒］鰔
鳒	［鰜-鳒］鰔
烏	［烏-乌］𠂶𤚶於𥾪
乌	［烏-乌］
蠕	［蝡蠕↛蠕］臑𦓔𧏦𧑮𧔇𧔀
覷	［覷-觑］覰
觑	［覷-觑］覰𡳆䁦𧠢覻
顦	［顦癄⇀憔］嫶
颿	［㠶⇀颿帆↛帆］䭵䬚𤖫䑺𩗋
虛	［虛-虚］虗𠧝𣦄譃
虚	［虛-虚］虗
戱	［戱-戯］
戯	［戯⇀戲‒戱-戯］戏
鷦	［鷦-鹪］𩾗𪆅𪆄
鹪	［鷦-鹪］𩾗𪆅𪆄
驦	［驦-骦］騻
骦	［驦-骦］騻
魦	［魦-𫚌］鮻𩵮𩸌𩺳鯊
鱨	［鱨-鲿］𩼝
蠑	［蠑-蝾］
鲿	［鱨-鲿］𩼝
鱈	［鱈-鳕］
鳕	［鱈-鳕］
駸	［駸-骎］𩤨𩤿
驌	［驌-骕］
骎	［駸-骎］𩤨𩤿
騷	［騷-骚］騒
鰠	［鰠-鳋］𩷃
骚	［騷-骚］騒
鳋	［鰠-鳋］𩷃
鱘	［鱘-鲟］
鲟	［鱘-鲟］
羟	［羥-羟］
驿	［驛-驿］駅墿𩦯
䮳	［䮳-𩨏］蕃
蝯	［猨⇀蝯猿↛猿］𤝌𤟗𤠔𧳭𧳷
猨	［猨⇀蝯猿↛猿］
鱮	［鱮-𫚈］魣
骕	［驌-骕］
鮶	［鮶-鲪］
鲪	［鮶-鲪］
蛏	［蟶-蛏］
